continent,year,month,month_total,election.treat,ban.treat,court.treat,shootings,placebo2015.treat,percent.change,count,logcount,,,
Africa,2014,11,1,0,0,0,27,0,,31677,10.36334614,,,
Africa,2014,12,2,0,0,0,25,0,,49513,10.80999054,,,
Africa,2015,1,3,0,0,0,24,0,,32282,10.38226508,,,
Africa,2015,2,4,0,0,0,18,0,,23846,10.07937177,,,
Africa,2015,3,5,0,0,0,29,0,,35726,10.48363399,,,
Africa,2015,4,6,0,0,0,18,0,,40582,10.6110799,,,
Africa,2015,5,7,0,0,0,38,0,,51447,10.84830743,,,
Africa,2015,6,8,0,0,0,42,0,,47536,10.7692426,,,
Africa,2015,7,9,0,0,0,45,0,,67206,11.11551781,,,
Africa,2015,8,10,0,0,0,41,0,,74451,11.21789647,,,
Africa,2015,9,11,0,0,0,38,0,,49581,10.81136297,,,
Africa,2015,10,12,0,0,0,23,0,,45693,10.72970039,,,
Africa,2015,11,13,0,0,0,34,1,0.10148915,35255,10.47036264,,,
Africa,2015,12,14,0,0,0,21,1,0.07669787,53626,10.8897893,,,
Africa,2016,1,15,0,0,0,18,1,0.070887898,34745,10.45579096,,,
Africa,2016,2,16,0,0,0,35,1,0.08319877,26010,10.16623636,,,
Africa,2016,3,17,0,0,0,30,1,0.090501769,39281,10.57849622,,,
Africa,2016,4,18,0,0,0,42,1,-0.000961942,40543,10.61011842,,,
Africa,2016,5,19,0,0,0,37,1,0.006239135,51770,10.85456611,,,
Africa,2016,6,20,0,0,0,51,1,0.014511983,48236,10.78386091,,,
Africa,2016,7,21,0,0,0,58,1,0.027029375,69073,11.1429192,,,
Africa,2016,8,22,0,0,0,51,1,-0.05095919,70841,11.16819321,,,
Africa,2016,9,23,0,0,0,42,1,-0.19408988,41522,10.63397869,,,
Africa,2016,10,24,0,0,0,37,1,-0.061936413,43028,10.66960635,,,
Africa,2016,11,25,1,0,0,43,1,-0.133601286,31100,10.3449631,,,
Africa,2016,12,26,1,0,0,31,1,-0.155359259,46415,10.74537796,,,
Africa,2017,1,27,1,0,0,43,1,-0.126292586,30849,10.33685961,,,
Africa,2017,2,28,1,1,0,34,1,-0.294996266,20085,9.907728547,,,
Africa,2017,3,29,1,1,0,29,1,-0.49147587,26337,10.17873007,,,
Africa,2017,4,30,1,1,0,46,1,-0.283331223,31592,10.3606592,,,
Africa,2017,5,31,1,1,0,23,1,-0.566319739,33052,10.40583736,,,
Africa,2017,6,32,1,1,1,43,1,-0.433717751,33644,10.42359001,,,
Africa,2017,7,33,1,1,1,65,1,-0.473274465,46884,10.75543174,,,
Africa,2017,8,34,1,1,1,41,1,-0.391112246,50924,10.8380896,,,
Africa,2017,9,35,1,1,1,34,1,-0.324423463,31351,10.35300144,,,
All_Arrivals,2014,11,1,0,0,0,27,0,,5803917,15.57404359,,,
All_Arrivals,2014,12,2,0,0,0,25,0,,6240229,15.64652744,,,
All_Arrivals,2015,1,3,0,0,0,24,0,,5481897,15.51696177,,,
All_Arrivals,2015,2,4,0,0,0,18,0,,4881351,15.40093258,,,
All_Arrivals,2015,3,5,0,0,0,29,0,,6154941,15.63276573,,,
All_Arrivals,2015,4,6,0,0,0,18,0,,6502575,15.68770881,,,
All_Arrivals,2015,5,7,0,0,0,38,0,,6850889,15.73988898,,,
All_Arrivals,2015,6,8,0,0,0,42,0,,6193105,15.63894713,,,
All_Arrivals,2015,7,9,0,0,0,45,0,,7832770,15.87382677,,,
All_Arrivals,2015,8,10,0,0,0,41,0,,8130021,15.91107406,,,
All_Arrivals,2015,9,11,0,0,0,38,0,,6511580,15.68909269,,,
All_Arrivals,2015,10,12,0,0,0,23,0,,6593625,15.70161383,,,
All_Arrivals,2015,11,13,0,0,0,34,1,0.040038922,6045992,15.61490613,,,
All_Arrivals,2015,12,14,0,0,0,21,1,0.014420987,6331536,15.66105342,,,
All_Arrivals,2016,1,15,0,0,0,18,1,0.004854015,5508636,15.5218276,,,
All_Arrivals,2016,2,16,0,0,0,35,1,-0.003547215,4864097,15.39739164,,,
All_Arrivals,2016,3,17,0,0,0,30,1,0.001088507,6161648,15.63385483,,,
All_Arrivals,2016,4,18,0,0,0,42,1,-0.088117873,5975984,15.60325933,,,
All_Arrivals,2016,5,19,0,0,0,37,1,-0.059458039,6466409,15.68213149,,,
All_Arrivals,2016,6,20,0,0,0,51,1,1.61E-07,6193106,15.6389473,,,
All_Arrivals,2016,7,21,0,0,0,58,1,-0.020558612,7674983,15.85347664,,,
All_Arrivals,2016,8,22,0,0,0,51,1,-0.021538961,7958601,15.88976379,,,
All_Arrivals,2016,9,23,0,0,0,42,1,-0.000611439,6507601,15.68848144,,,
All_Arrivals,2016,10,24,0,0,0,37,1,-0.000752049,6588670,15.70086207,,,
All_Arrivals,2016,11,25,1,0,0,43,1,-0.063630373,5684298,15.55321819,,,
All_Arrivals,2016,12,26,1,0,0,31,1,-0.048822696,6036803,15.61338513,,,
All_Arrivals,2017,1,27,1,0,0,43,1,0.00660026,5545236,15.52844974,,,
All_Arrivals,2017,2,28,1,1,0,34,1,-0.050973806,4628181,15.34767448,,,
All_Arrivals,2017,3,29,1,1,0,29,1,-0.098329257,5610019,15.54006466,,,
All_Arrivals,2017,4,30,1,1,0,46,1,0.07176246,6437990,15.67772694,,,
All_Arrivals,2017,5,31,1,1,0,23,1,-0.092052921,5921333,15.59407215,,,
All_Arrivals,2017,6,32,1,1,1,43,1,-0.082397095,5721658,15.55976918,,,
All_Arrivals,2017,7,33,1,1,1,65,1,-0.064073446,7212832,15.79137222,,,
All_Arrivals,2017,8,34,1,1,1,41,1,-0.026874123,7750318,15.86324443,,,
All_Arrivals,2017,9,35,1,1,1,34,1,-0.05892546,6145476,15.63122676,,,
Asia,2014,11,1,0,0,0,27,0,,664347,13.40655988,,,
Asia,2014,12,2,0,0,0,25,0,,751246,13.52948844,,,
Asia,2015,1,3,0,0,0,24,0,,812734,13.60815915,,,
Asia,2015,2,4,0,0,0,18,0,,744592,13.5205917,,,
Asia,2015,3,5,0,0,0,29,0,,785024,13.57346957,,,
Asia,2015,4,6,0,0,0,18,0,,771546,13.55615157,,,
Asia,2015,5,7,0,0,0,38,0,,991260,13.80673214,,,
Asia,2015,6,8,0,0,0,42,0,,949551,13.76374452,,,
Asia,2015,7,9,0,0,0,45,0,,1106409,13.91663019,,,
Asia,2015,8,10,0,0,0,41,0,,1185815,13.98594086,,,
Asia,2015,9,11,0,0,0,38,0,,1014394,13.82980195,,,
Asia,2015,10,12,0,0,0,23,0,,862916,13.66807263,,,
Asia,2015,11,13,0,0,0,34,1,0.121963501,756628,13.536627,,,
Asia,2015,12,14,0,0,0,21,1,0.10063055,835303,13.63554981,,,
Asia,2016,1,15,0,0,0,18,1,0.139249917,944216,13.75811023,,,
Asia,2016,2,16,0,0,0,35,1,0.079444793,808851,13.60337,,,
Asia,2016,3,17,0,0,0,30,1,0.047952615,824564,13.62261004,,,
Asia,2016,4,18,0,0,0,42,1,0.033476184,798269,13.59020091,,,
Asia,2016,5,19,0,0,0,37,1,-0.003858423,987450,13.80288114,,,
Asia,2016,6,20,0,0,0,51,1,0.070410994,1021474,13.83675724,,,
Asia,2016,7,21,0,0,0,58,1,0.027495188,1137690,13.94451045,,,
Asia,2016,8,22,0,0,0,51,1,0.02105231,1211316,14.00721793,,,
Asia,2016,9,23,0,0,0,42,1,0.012427482,1027159,13.8423073,,,
Asia,2016,10,24,0,0,0,37,1,0.066949384,924833,13.73736846,,,
Asia,2016,11,25,1,0,0,43,1,0.0392306,787523,13.57664786,,,
Asia,2016,12,26,1,0,0,31,1,0.044390548,874105,13.68095578,,,
Asia,2017,1,27,1,0,0,43,1,0.06625594,1011215,13.82666314,,,
Asia,2017,2,28,1,1,0,34,1,-0.094802453,738810,13.51279606,,,
Asia,2017,3,29,1,1,0,29,1,0.02251769,843559,13.64538513,,,
Asia,2017,4,30,1,1,0,46,1,0.020368968,814867,13.61078019,,,
Asia,2017,5,31,1,1,0,23,1,-0.034940306,954113,13.76853739,,,
